,categories,text
0,"['sexual_harassment', 'dominance', 'active']",Y te golpeo más fuerte perra.
1,['non-sexist'],@wthxtme @GOLDENMXM Castigado tres meses sin salir y la chica no viene a casa.─── #NOTAU
2,"['stereotype', 'passive']",Mucho Punch a nazi pero que luego os escondéis como putas mariconas.
3,"['discredit', 'active']",@NacionDigital2 Imagino que esta feminazi es boba
4,['non-sexist'],"dios los citados de este tuit, simplemente dio a entender que no le gustó y saltaron con q emilia no tiene premios y rebajandola cuando no tiene nada que ver de lejos se ve su misoginia internalizada después no den el duscursito de sororidad y empoderamiento :) https://t.co/fdeY5fy5fZ"
5,"['discredit', 'active']",Nombre jefe ni me menciones a esa perra no vale pa chingar a su madre la culera
6,"['discredit', 'stereotype', 'dominance', 'passive']",Hasta una feminazi se va a dejar maltratar por un hombre a la hora de coger porque cuando una mujer anda con ganas de que le metan la verga se olvida de cualquier ideal o principio hasta que se le baje la calentura #Educandoalaputeria
7,['non-sexist'],"Harta de salir con miedo, harta de no poder responderle a los pajeros de la calle por miedo a que me hagan algo, harta de tener que vivir reprimida por ser mujer. https://t.co/55jsSfOTit"
8,['non-sexist'],https://es.dailystormer.name/2018/06/23/detenido-hombre-marroqui-por-violacion-y-asesinato-de-activista-proinmigracion/
9,['non-sexist'],La inmigrante embarazada que planta cara a los CDR y se niega a cerrar su negocio por la huelga https://okdiario.com/espana/cataluna/2019/02/21/inmigrante-embarazada-que-planta-cara-cdr-niega-cerrar-negocio-huelga-3736755#.XG8UOBbYfoU.twitter 
10,['non-sexist'],@MissGracey13 @KojyNeox @perra_amargada Gracias
11,"['active', 'discredit']","@EduAguirre7 Y tú sigues siendo una vergüenza de periodista, siempre en un partido tienes que meter a la de a huevo a Cristiano, joder ya déjalo en paz pareces puta niña de 15 años, eres una porquería, deberías dejar ese trabajo porque no eres neutro solo eres un FanBoy de mierda!!!"
12,['non-sexist'],El privilegio de las vacunas.... de estar libre.... de tener una fortuna gracias a los aportes sindicales...Hugo Moyano: “Me vacuné con mi mujer y mi hijo menor con una provisión del Gobierno de la Ciudad para el Sanatorio Antártida” - Infobae https://t.co/WZygExwYtj
13,['non-sexist'],"lo del mac facha me ha motivado aun mas para ser un gran militar y que mi futura mujer, hija y patria se sientan orgullosas de mi"
14,"['discredit', 'stereotype', 'active']",Putilla degenerada alemana se pone inyecciones para ser una transnegraLa teutona se ha puesto también las falsas tetas más grandes de toda Europa.https://tinyurl.com/yd2ofczd
15,['non-sexist'],Soy fea
16,"['stereotype', 'discredit', 'active']",@_agustinaavega Alta perra
17,['non-sexist'],"@AinaraIturrioz @JNominas @OSilenciosa @Skarlet0704 @UnaPrendefuegos Si claro, en eso no estoy entrando.La igualdad es como la gravedad, una necesidad. Yo no defiendo posturas totalitarias para mí Feminismo no es repartirse “el pastel” entre ambos sexos, es hacer uno nuevo. Por eso defiendo que feminismo no debería ser, ni es, odiar al hombre"
18,['non-sexist'],"Pues voy a tener que ir la médico, porque cada vez que viene el repartidor de material de oficina, se me pone una cara lagartona.... Madre mía, que genética tiene..... Perdón"
19,['non-sexist'],Hay que apostar por implementar la escasa industria que hemos dejado.  Hacerla competitiva y atractiva a la inversión de los valores y principios humanos que miren por el bien social común.¡Dejen de mirar a cuatro años vista y planifiquen para todas las personas a largo plazo!
20,['non-sexist'],Que horrible como la farándula chilena siempre se encargaba de dejar mal a las mujeres. Un asco https://t.co/Gu3XRXrGUt
21,['non-sexist'],"Así queda la clasificación del subgrupo B del Grupo 8 de Tercera después de la jornada 19. Quedan tres para finalizar la primera fase. Igualdad máxima entre segundo y séptimo, que se encuentran en 4 puntos. https://t.co/4hZiLjdhd3"
22,['non-sexist'],Me estoy sintiendo de fea de cara y no sé qué hacer para arreglarla
23,"['stereotype', 'active']",@Maya__Milf Cualquier versión es buena si con migo puedes ser las dos es más que suficiente una dama en público y una golfa en la cama
24,['non-sexist'],"De verdad quiero que sepan que en este momento deseo fervientemente que mueran, malditos hijos de perra, bastardos infelices y miserables. Pero como hacen que ya desee largarme, en un tiempo les daré sinceramente las gracias por este empujón para dedicarme a mis personajes: Gracias después, ahora PÚDRANSE."
25,"['derailing', 'stereotype', 'active']","#Musica #EnEspañol #MusicaEnEspañol #JoaquinSabina #Contigo  #SerratSiempre tuvo la frente muy alta, la lengua muy largaY la falda muy corta...  Joan Manuel Serrat, Joaquín Sabina - 19 Dias y 500 Nocheshttps://t.co/9R1qMAF5mF"
26,['non-sexist'],"@LauraRdondo Sonáis tanto a los hombres que se quejan de la ley de igualdad de género porque ahora las mujeres les pueden denunciar cuando quieran... sois las nuevas #notallmen . El feminismo lucha por la igualdad de género, todo su abanico."
