,test_case,id,source,language,text,task1,task2
3436,EXIST2021,3437,twitter,es,Nadie te va a tratar tan bien como un hombre que te lo quiere meter por primera vez.,sexist,sexual-violence
3437,EXIST2021,3438,twitter,es,"@lindagisela74 Que rica putita obediente, afortunado tu marido de tener una mujer como tú, saludos",sexist,stereotyping-dominance
3438,EXIST2021,3439,twitter,es,@BicireporteraDF Yo lo hice a los 18 años por la carretera libre a Veracruz y ahora hay más carreteras veras que si puedes mujer,non-sexist,non-sexist
3439,EXIST2021,3440,twitter,es,"las cosas q sueño son indicios de que yo enrealidad soy una lesbiana reprimida, no tengo ninguna duda d esto",non-sexist,non-sexist
3440,EXIST2021,3441,twitter,es,"Pero a la niña le gustó desde que lo vió, así que me le dije, hola bien y tú? Ese día sólo podía ver un hombre guapo, moreno (como me gustan) con una barba que rodeaba su boca tan perfecta y unos ojazos que wow. Hasta las manos le vi ajjaja por que si me fijo en eso",non-sexist,non-sexist
3441,EXIST2021,3442,twitter,es,"@Agus_Martinez58 @AlmeidaPP_ Faltar al respeto nunca ha sido la solución a nada. Un poco de clase y elegancia, hombre. Dice muy poco de usted como periodista si necesita recurrir al insulto fácil.",non-sexist,non-sexist
3442,EXIST2021,3443,twitter,es,LA ALCALDESA CLAUDIA LOPEZ Y DEMAS ALCALDESPRETENDEN METER POR LA SEPTIMA LO QUE NO CABELO QUE NO CABE NO CABELA SEPTIMA DESDE LA CALLE 32 A LA CALLE 100 ES MUY ESTRECHA HAY QUE HACER UNA VIA EXPRESASUBTERRANEA O AEREA https://t.co/xY9smufSdS https://t.co/rhuvSXhypu,non-sexist,non-sexist
3443,EXIST2021,3444,twitter,es,"@6Asca @ladycristall Sigues lloriqueando, no me des la brasa nenaza",sexist,misogyny-non-sexual-violence
3444,EXIST2021,3445,twitter,es,"Y para nada estoy diciendo esto desde un sitio de victimismo; al contrario, ser empático con las causas de personas como tú te empodera a ti y a quienes te rodean, así que antes de decir que “no hablen por ti esos grupos”...",non-sexist,non-sexist
3445,EXIST2021,3446,twitter,es,Que atractiva es la seguridad.,non-sexist,non-sexist
3446,EXIST2021,3447,twitter,es,"Perdonar lo no sólo es posible, es absolutamente necesario. Estoy harta de las boludas que acusan de todos los males de la humanidad a los hombres. Muerte al feminismo",sexist,ideological-inequality
3447,EXIST2021,3448,twitter,es,El odio que te tengo nunca se me va a quitar pinché lagartona,sexist,misogyny-non-sexual-violence
3448,EXIST2021,3449,twitter,es,"Al momento de sentarme a estudiar todo me parece más interesante y divertido, desde pintarme las uñas hasta fregar, limpiar o simplemente mirar para afuera sin hacer nada conchalalora",non-sexist,non-sexist
3449,EXIST2021,3450,twitter,es,Cuando pasan delante tuya todos los ciriales de La Mortaja en una calle estrecha. https://t.co/N19KHrYztB,non-sexist,non-sexist
3450,EXIST2021,3451,twitter,es,"Mientras algunos luchan por querer jugar, otros le pegan a las vitaminas felices. Fuller de los @houstontexans está suspendido seis partidos por violar la ley de sustancias restringidas..#nfl #futbolamericano #willfuller #texans #texansnation #pedpolicy https://t.co/cD3y8SyslO",non-sexist,non-sexist
3451,EXIST2021,3452,twitter,es,Es increíble y absurdo lo que son capaces de montar estos fascistas por ver a cuatro voluntarios bailando.son pura escoria. #NiUnEuroACruzRoja,non-sexist,non-sexist
3452,EXIST2021,3453,twitter,es,"El aborto es machista: hay muchas mujeres que quieren tener a sus hijos.Conozco un caso de una mujer que quería tener a su hijo, pero bajo preciones y amenazas tuvo que asesinar a su propio hijo.Tenemos que acabar con el machismo y con el asesinato sistematizado de bebés.",sexist,ideological-inequality
3453,EXIST2021,3454,twitter,es,Tengo una obsesión con Betty la fea,non-sexist,non-sexist
3454,EXIST2021,3455,twitter,es,"@Rexmas1alterno @AdryMJ_ Todas putas man, literal",sexist,misogyny-non-sexual-violence
3455,EXIST2021,3456,twitter,es,chicas las que vais a psicólogo privado cuanto pagáis más o menos?,non-sexist,non-sexist
3456,EXIST2021,3457,twitter,es,lo que se merece!!!  https://t.co/Cb4Ldqlxgv,non-sexist,non-sexist
3457,EXIST2021,3458,twitter,es,Que fea son las malas actitudes loco,non-sexist,non-sexist
3458,EXIST2021,3459,twitter,es,"Me parece increíble que hasta en un puto juego sexualicen a las mujeres, sí, ya sé que son personas imbéciles que no tienen vida propia, pero es que es el colmo. Tengo una piedra ni la más hp.",sexist,objectification
3459,EXIST2021,3460,twitter,es,@marianavelezga Q es un guebon dejar d tratar una mujer como usted..,non-sexist,non-sexist
3460,EXIST2021,3461,twitter,es,@AKO72842870 Dicen buscar la equidad pero cuando les preguntas q si están encontrar de la ley integral de violencia de género o la violencia contra el hombre te dicen es q el feminismo es algo para mujeres es decir q no buscan equidad sino beneficios propios/superioridad  y ni para eso sirven,sexist,ideological-inequality
3461,EXIST2021,3462,twitter,es,"@Noticia_Libre @JulySeEs @AnibelcaRosario @SusanaGautreau @holi_matos @pousuazo @laluzjose @carlosgabrielgc @LaNacion_RD @SueroDanielUnt @Porfiriogc @Suedita @LaVozDelPRM Cuándo vamos a entender que no somos dueños de nadie?Que el amor por presión no existe.Usted tiene derecho de dejar de querer, de separarse, de decir adiós.Como hombre pienso que a las mujeres hay que quererlas con locura, pero hasta el día que ellas quieran que las quieran.",non-sexist,non-sexist
3462,EXIST2021,3463,twitter,es,DE DONDE SALISTE HIJO DE PUTA QUE HERMOSO PARECES DE UNA PELICULA ME MUERO TE AMO TE AMO https://t.co/dS5baUS4Jw,non-sexist,non-sexist
3463,EXIST2021,3464,twitter,es,"@EdwardMa2558 @Cydonia99790009 @La_SER @adelamolina @elmundoes @Google @goohle #YoSiTeCreo , estamos contigo campeón, todo es. mentira, salvo tu verdad",non-sexist,non-sexist
3464,EXIST2021,3465,twitter,es,@SoyEnigmah @Hoyuelicos @FachaFlauta_ @bouenmastodon https://t.co/ibTpRG2Kd7Leetelo y luego me explicas que todas esas maltratadora se creen con derecho a pegar a su pareja porque se creen superiores por ser mujeres.,sexist,ideological-inequality
3465,EXIST2021,3466,twitter,es,"Mi cuerpo no se toca, no se viola,no se mata.Si conoces algún caso o sufres de violencia DENUNCIA.Estamos para ayudarte #PorTíPorMíPorTodas#DenunciaLaViolencia #Justicia #YoSiTeCreo #NoEsNo https://t.co/eDVDG9tWtG",non-sexist,non-sexist
3466,EXIST2021,3467,twitter,es,@oreja_de_reno @ArtemisNymph Bonita versión alternativa de mansplaining:3 Señoros diciéndole a un señor (un señor estudiao y con criterio) que su perspectiva de género no es la perspectiva fetén. Spoiler: Vaya que sí,non-sexist,non-sexist
3467,EXIST2021,3468,twitter,es,"No seas Simp, ni mangina, mejor sigue tu propio camino! #mgtow #pildoraroja #redpill https://t.co/AGXRAY62FH",non-sexist,non-sexist
3468,EXIST2021,3469,twitter,es,"@Juanmjh1 @Macarena_Olona Ábalos y la nenaza riéndose a la par que se le dicen verdades.Y luego se vanaglorian de ser el gobierno de la dignidad, aunque Ábalos y dignidad son la más absoluta antítesis. Ábalos o socialismo, da igual el sustantivo que se utilice.",non-sexist,non-sexist
